id_cliente,total_ordenes,frecuencia_promedio
ccafc1c3f270410521c3c6f3b249870f,2,608.978912036866
d8f3c4f441a9b59a29f977df16724f38,2,582.864363425877
94e5ea5a8c1bf546db2739673060c43f,2,580.6933217593469
87b3f231705783eb2217e25851c0a45d,2,572.6868402776308
4e23e1826902ec9f208e8cc61329b494,2,524.4134953706525
a1c61f8566347ec44ea37d22854634a1,2,524.1009259256534
a262442e3ab89611b44877c7aaf77468,2,521.9281944446266
5eefb861d4921a3e628bbc65c50a480a,2,517.7503587962128
18bc87094128bbfe943cf88adcf72059,2,514.5119328703731
7e7301841ddb4064c2f3a31e4c154932,2,514.2794675924815
24072811917876a84c81166f96aed0c1,2,510.9021064816043
408aee96c75632a92e5079eee61da399,2,506.26663194410503
97258e1c1f77f32358eccd1c9ee5954d,2,504.6537384260446
7f5dcde4d292354dd5e6968a27971126,2,492.98440972249955
4d9e104764077f7dfae917c7cc803212,2,489.3081481484696
4658b26bcea972ed0b86a5f8c61718be,2,488.83598379651085
2e49a3bbeb76297ee0ff49df39c2456c,2,485.18931712955236
fc19fe9ac733e36ff8227c29435c2030,2,483.9673842592165
1b7b7f9631cd453251d0b328c9b38a2a,2,482.00456018559635
423d40b193638955a782839886648464,2,472.0696643521078
e219a439f6ca99e32824bcc7153969c9,2,468.8268402777612
3af90f255e824d1d53b3584a4e89ad58,2,466.8881250000559
acf91aaa6f337456d3c506a5a494552c,2,462.3251504627988
46ed126bcf1df6e195dbc63d7c320983,2,457.04185185208917
71a92fd3087501bcfba6e6e1ef7e8fd7,2,457.0139930555597
fb920961e4d8e55fd9c357976a611765,2,455.77464120369405
4092bf290aa60e4f2d4a0dcc2f38c954,2,454.9798263888806
1f98e3467d2b48dfb44fc12b137d3447,2,454.71399305574596
7cf08f01ab6a6a1365e1613989a65158,2,453.0041898144409
313febe2adc914a7cb3f6e903f8e13cf,2,452.8710879632272
4702ba5faa8283e0f6b6a545cdaf8a9f,2,449.0082754632458
eeea20d93b0e221411defcabab3c8949,2,448.7937268521637
8cfc5350efe3bce6a0d6f96fbaf2c3b4,2,447.6409722222015
c7819760e70376028f519e3b57e6c441,2,444.72525462973863
0ef7b906320b21fe4d39f99496aaa2d8,2,444.1556250001304
0178b244a5c281fb2ade54038dd4b161,2,443.7144791665487
6f1b9f60ea8ee748140353648c2d8d8f,2,441.976365740411
a4030b5e97ffc14114e66d82df860f6f,2,438.2267824076116
eb4520b16c32518b6615f2d50f1be1bb,2,435.84721064800397
796214f3f3b496b3b116986185984393,2,434.6551157408394
5d323409404dee6bdb0f6cf9ef828dae,2,432.8693287037313
cb36d0f12c99d07935b706269045f613,2,432.2023495370522
4041baa51d9eae8f5955ccd4f02bb044,2,431.02459490764886
cd6c68c5fad15e0a5a5c1150546704e0,2,428.05343750026077
ece908ca0502def5dd56deca8a5c67d5,2,427.0831712959334
da8ac849037c7201a41a4db0b1fa963e,2,425.27218750026077
fcd0ab79592faab19e2bf386cf69fbcd,2,420.91332175955176
54e0a7cc9c09c591bd186e4569c7bf30,2,420.21817129617557
aff7f8b5669fbc5d6f6097ce45e63b19,2,414.1619444442913
9b7fcfa05fb6f8b88fea3d74a6ba77d6,2,413.02031250018626
ee04cc9bca4c9198bec5c54c2542dd3b,2,411.7072800928727
d6db3091e8c13023bf1e6d367b8c0847,2,409.16907407389954
6f65f19c2dcfcab8b76b2fafb5b840e1,2,409.04519675904885
46da36c3df7118852b770394d1ba2be5,2,408.19097222201526
8b4bb71a7d37d4c2560e0f0409a58905,2,404.61701388889924
21559d7ff0ebff720e5e160184338fed,2,403.77666666638106
1a328a664417dc7cbff0ed7df49f5a3d,2,403.661423610989
d08c29302907086e8fe823369542f3ae,2,403.6535648149438
8f567321ba12101dedc07c70b7021069,2,402.9927083333023
c04a6c1c190e47ec62b4bb139921331a,2,398.2275231485255
4962136f755981b83b03f476e66eea7d,2,398.14392361138016
01f2285f85a1c603eb7ef755ad311769,2,397.0074189817533
2b5ffb4c42d26e466ad575ecce365aa2,2,395.70813657389954
e43c9920240823d6c97bedc723c25281,2,394.95143518503755
8fdb30046559b506b2ea1588cdfded0d,2,394.5077546299435
3e6658866cc636c1762c080ed56f44e6,2,393.1574768521823
5e0aa142dc4760e62a74c1830cbf91b1,2,391.76643518544734
282d49fddab8e95a8673a2a90072cf5c,2,390.2198495371267
3fe3e628c6c7a15ae96416826a4c5952,2,389.9008564813994
9202421110f6a19ddcf0b9b93602a0a1,2,387.55106481490657
baad97a77fafd04f72a7f874dd67b37e,2,384.66908564791083
f0ac405c280fab1d087b8982e7801b54,2,382.8469097223133
35b45b906d1450b3540dc96692f58583,2,382.7745833331719
f019bdb8008924769fe88319cddedda9,2,380.6682986114174
